fold,mae_homo,rmse_homo,r2_homo,mae_lumo,rmse_lumo,r2_lumo,mae_energy,rmse_energy,r2_energy,mae_avg,rmse_avg,r2_avg
1,0.12451842220723688,0.17496962445933067,0.9076680231251849,0.15511667645191743,0.22602685208441742,0.9461454270442524,3.6632484115828845,5.344823701342294,0.8419603278711166,1.314294503414013,1.9152733926286807,0.8985912593468514
2,0.18075598126245995,0.35580280121768254,0.8662262846193819,0.2832857588335653,0.6185857932809612,0.8179635257375393,5.411812345096675,9.440690153465855,0.6608392849555371,1.9586180283975667,3.471692915988166,0.7816763651041527
3,0.11778306131277047,0.17043320940496304,0.8586767013937452,0.16771316188096444,0.23187847508637371,0.9155742276405464,3.4217608354792954,5.402294029939904,0.8247853512566123,1.2357523528910102,1.9348685714770804,0.8663454267636347
4,0.20081090337127144,0.5029381555044405,0.40806564323212513,0.2523366742765603,0.790962639912491,0.30021192254570317,5.015330942213212,8.671702500095865,0.6387398694919539,1.8228261732870148,3.321867765170932,0.44900581175659404
5,0.19696642039209306,0.4154535308702398,0.6894208425931512,0.26771695921779926,0.601752994298222,0.6945680931921416,5.440481368839372,8.195156701237078,0.7307790384158022,1.9683882494830878,3.0707877421351797,0.7049226580670317
